"State","County","Worst.Crime.Display","Crime.Category","Year.of.Crime","Year.of.1st.Conviction"
"North Carolina","Forsyth","Child Sex Abuse","Misconduct",1991,1995
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"New York","Erie","Sexual Assault","Misconduct",1982,1983
"Illinois","Cook","Murder","Misconduct",1984,1987
"New York","New York","Robbery","Misconduct",2005,2006
"Illinois","Cook","Murder","Misconduct",1999,2004
"California","Santa Clara","Sex Offender Registration","Nonviolent felony",1994,1994
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"Massachusetts","Essex","Theft","Misdemeanor",1989,1989
"Texas","Dallas","Sexual Assault","Misconduct",1992,1992
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Pennsylvania","Philadelphia","Murder","Misconduct",1990,1992
"Wisconsin","Jefferson","Sexual Assault","Misconduct",1998,2000
"Georgia","Carroll","Murder","Misconduct",2004,2005
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2009
"Illinois","Cook","Murder","Misconduct",1978,1978
"Massachusetts","Suffolk","Murder","Misconduct",1972,1974
"Texas","Dallas","Murder","Misconduct",1976,1977
"Louisiana","Orleans","Murder","Misconduct",1979,1983
"New York","Monroe","Menacing","Violent felony",1997,1998
"Connecticut","New Haven","Murder","Misconduct",1996,1999
"Illinois","Cook","Assault","Misconduct",2004,2006
"Illinois","Cook","Assault","Misconduct",2004,2006
"Maryland","Baltimore City","Murder","Misconduct",1996,1998
"Illinois","Lake","Robbery","Misconduct",1988,1988
"Illinois","Cook","Murder","Misconduct",1997,1999
"Florida","Seminole","Murder","Misconduct",2004,2006
"Michigan","Wayne","Murder","Misconduct",2001,2002
"Pennsylvania","Centre","Weapon Possession or Sale","Misdemeanor",2015,2015
"Ohio","Cuyahoga","Murder","Misconduct",1975,1975
"New York","Kings","Attempt, Violent","Misconduct",2000,2001
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2010,2010
"California","Santa Barbara","Murder","Misconduct",1986,1987
"Texas","Harris","Murder","Misconduct",1982,1982
"Massachusetts","Norfolk  ","Theft","Misdemeanor",2003,2005
"Ohio","Montgomery","Child Sex Abuse","Misconduct",1984,1985
"Florida","Miami-Dade","Other Violent Misdemeanor","Misdemeanor",2016,2019
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Texas","Uvalde","Sexual Assault","Misconduct",1990,1990
"Michigan","Ingham","Child Sex Abuse","Misconduct",2013,2015
"Mississippi","Panola","Murder","Misconduct",1987,1989
"Louisiana","Jefferson","Sexual Assault","Misconduct",1979,1980
"Indiana","St. Joseph","Sexual Assault","Misconduct",1996,1998
"Michigan","Ingham","Murder","Misconduct",2011,2016
"New York","Bronx","Child Sex Abuse","Misconduct",1984,1985
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2007
"Texas","Dallas","Murder","Misconduct",1983,1983
"Indiana","St. Joseph","Murder","Misconduct",1990,2002
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Ohio","Hamilton","Kidnapping","Misconduct",2005,2005
"Texas","Dallas","Murder","Misconduct",1999,2000
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"North Carolina","Durham","Murder","Misconduct",1998,1999
"Washington","Cowlitz","Murder","Misconduct",2000,2002
"Maryland","Baltimore City","Assault","Misconduct",1999,2000
"Illinois","Cook","Murder","Misconduct",1984,1987
"Ohio","Lorain","Child Sex Abuse","Misconduct",1993,1994
"Missouri","Cole","Murder","Misconduct",1982,1983
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Washington","Thurston","Weapon Possession or Sale","Misdemeanor",2007,2008
"Illinois","Cook","Murder","Misconduct",1986,1990
"Illinois","Cook","Murder","Misconduct",1994,1995
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Texas","Dallas","Murder","Misconduct",2001,2003
"Minnesota","Washington","Sexual Assault","Misconduct",2006,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2010,2012
"Texas","Cameron","Assault","Misconduct",2005,2006
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"California","Orange","Murder","Misconduct",1998,2012
"California","Los Angeles","Robbery","Misconduct",1994,1995
"Fed-DC",NA,"Bribery","Nonviolent felony",2010,2011
"Wisconsin","Rock","Murder","Misconduct",1986,1987
"Texas","Harris","Assault","Misconduct",1998,1998
"Missouri","Oregon","Murder","Misconduct",2008,2011
"Arizona","Cochise","Assault","Misconduct",2005,2006
"Illinois","DuPage","Murder","Misconduct",1995,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Missouri","Cole","Murder","Misconduct",1985,1986
"Illinois","Cook","Murder","Misconduct",1980,1982
"Texas","Van Zandt","Manslaughter","Misconduct",2004,2007
"Pennsylvania","Venango","Sexual Assault","Misconduct",2000,2001
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Michigan","Wayne","Robbery","Misconduct",2010,2010
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"New York","Bronx","Burglary/Unlawful Entry","Misdemeanor",1985,1990
"Washington","Pierce","Robbery","Misconduct",2004,2005
"Hawaii","Maui","Other Violent Felony","Misconduct",2010,2011
"Virginia","Hanover","Sexual Assault","Misconduct",1982,1982
"Mississippi","Hinds","Assault","Misconduct",1992,1997
"Illinois","Winnebago","Murder","Misconduct",2002,2002
"Illinois","Cook","Murder","Misconduct",1994,1996
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1997,1997
"New York","Queens","Murder","Misconduct",1986,1988
"Ohio","Cuyahoga","Murder","Misconduct",1974,1975
"Illinois","Cook","Murder","Misconduct",1983,1985
"New York","Queens","Attempted Murder","Misconduct",1993,1995
"Fed-MD",NA,"Fraud","Nonviolent felony",2013,2014
"Michigan","Wayne","Murder","Misconduct",2012,2013
"California","Los Angeles","Murder","Misconduct",1994,1995
"Florida","Palm Beach","Attempted Murder","Misconduct",2009,2011
"Illinois","Cook","Murder","Misconduct",1995,1998
"Washington","King","Child Sex Abuse","Misconduct",2008,2009
"Ohio","Muskingum","Robbery","Misconduct",1991,1992
"California","Los Angeles","Assault","Misconduct",2009,2012
"Rhode Island","Providence","Murder","Misconduct",2010,2013
"Texas","Navarro","Murder","Misconduct",1981,1984
"Illinois","Cook","Sex Offender Registration","Nonviolent felony",2005,2005
"Illinois","DuPage","Sex Offender Registration","Nonviolent felony",2011,2012
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"North Carolina","Guilford","Murder","Misconduct",1988,1995
"Wisconsin","Dane","Murder","Misconduct",1980,1981
"Michigan","Otsego","Child Sex Abuse","Misconduct",2005,2006
"Tennessee","Davidson","Child Sex Abuse","Misconduct",2010,2013
"Maryland","Montgomery","Murder","Misconduct",1994,1995
"New York","Kings","Murder","Misconduct",2001,2002
"Illinois","Cook","Murder","Misconduct",1981,1982
"California","Orange","Theft","Misdemeanor",2015,2016
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Oregon","Multnomah","Drug Possession or Sale","Misdemeanor",2012,2012
"Connecticut","New Haven","Murder","Misconduct",1996,2000
"Oklahoma","Tulsa","Murder","Misconduct",1990,1991
"Michigan","Wayne","Murder","Misconduct",2005,2006
"California","Riverside","Sexual Assault","Misconduct",1986,1988
"Florida","Martin","Sexual Assault","Misconduct",2003,2004
"California","Los Angeles","Murder","Misconduct",1985,1987
"California","Los Angeles","Attempted Murder","Misconduct",1989,1990
"New York","Cayuga","Weapon Possession or Sale","Misdemeanor",2016,2016
"Texas","Waller","Burglary/Unlawful Entry","Misdemeanor",2017,2018
"District of Columbia",NA,"Murder","Misconduct",1971,1972
"New York","Kings","Murder","Misconduct",1985,1988
"Texas","Waller","Burglary/Unlawful Entry","Misdemeanor",2017,2018
"Maryland","Baltimore City","Murder","Misconduct",1974,1975
"Michigan","Wayne","Murder","Misconduct",2000,2000
"Wisconsin","Manitowoc","Attempted Murder","Misconduct",1985,1985
"Wisconsin","Milwaukee","Murder","Misconduct",1998,2005
"Massachusetts","Worcester","Sexual Assault","Misconduct",1988,1989
"Wisconsin","Marquette","Arson","Misconduct",2006,2007
"Illinois","Cook","Murder","Misconduct",1981,1982
"Ohio","Cuyahoga","Murder","Misconduct",1999,2000
"New York","Bronx","Murder","Misconduct",1995,1997
"New York","Bronx","Murder","Misconduct",1995,1997
"Ohio","Hamilton","Attempted Murder","Misconduct",1981,1982
"New York","New York","Murder","Misconduct",1965,1966
"New York","Queens","Child Sex Abuse","Misconduct",1988,1989
"New York","Bronx","Murder","Misconduct",2010,2014
"Washington","Benton","Arson","Misconduct",2001,2002
"Tennessee","Shelby","Murder","Misconduct",1992,1994
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2009,2010
"Illinois","Cook","Murder","Misconduct",1989,1990
"California","Los Angeles","Weapon Possession or Sale","Misdemeanor",1996,1996
"Florida","Hillsborough","Manslaughter","Misconduct",1996,1997
"Oregon","Malheur","Child Sex Abuse","Misconduct",2007,2009
"Florida","Polk","Child Sex Abuse","Misconduct",1974,1974
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2003
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2006
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Florida","Pinellas","Robbery","Misconduct",1996,1997
"Pennsylvania","Philadelphia","Murder","Misconduct",1973,1974
"Montana","Lewis and Clark","Child Sex Abuse","Misconduct",2010,2012
"Oklahoma","Bryan","Assault","Misconduct",2008,2009
"New Jersey","Camden","Murder","Misconduct",1995,1996
"Ohio","Sandusky","Burglary/Unlawful Entry","Misdemeanor",2013,2015
"New York","New York","Drug Possession or Sale","Misdemeanor",2017,2017
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Tennessee","Shelby","Child Sex Abuse","Misconduct",1984,1987
"Louisiana","St. Bernard","Sexual Assault","Misconduct",1998,1999
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2007,2008
"New Mexico","Grant","Murder","Misconduct",1978,1981
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2013,2013
"California","Orange","Drug Possession or Sale","Misdemeanor",2010,2013
"Missouri","St. Louis City","Murder","Misconduct",2000,2002
"California","Los Angeles","Sexual Assault","Misconduct",2002,2003
"Illinois","Cook","Murder","Misconduct",1983,1985
"Alabama","Choctaw","Manslaughter","Misconduct",1999,2001
"Fed-MA",NA,"Conspiracy","Nonviolent felony",2015,2019
"Massachusetts","Berkshire","Child Sex Abuse","Misconduct",1984,1985
"Texas","Upshur","Murder","Misconduct",1996,1997
"Virginia","James City","Sexual Assault","Misconduct",1978,1978
"Tennessee","Lake","Murder","Misconduct",2011,2015
"California","Los Angeles","Robbery","Misconduct",1992,1992
"South Carolina","Spartanburg","Child Sex Abuse","Misconduct",1995,1996
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2009
"Florida","Sarasota","Child Sex Abuse","Misconduct",2004,2011
"Virginia","Portsmouth City","Murder","Misconduct",2002,2003
"Fed-OK","(Northern)","Drug Possession or Sale","Misdemeanor",2007,2008
"Fed-OK","(Northern)","Drug Possession or Sale","Misdemeanor",2007,2008
"New York","Oneida","Murder","Misconduct",1985,1989
"West Virginia","Cabell","Murder","Misconduct",2002,2008
"West Virginia","Cabell","Murder","Misconduct",2002,2008
"Indiana","Delaware","Sexual Assault","Misconduct",1992,1992
"Illinois","Cook","Murder","Misconduct",1991,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2016,2016
"California","Los Angeles","Weapon Possession or Sale","Misdemeanor",1996,1996
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2016,2016
"Florida","Marion","Child Sex Abuse","Misconduct",1990,1991
"California","San Diego","Sexual Assault","Misconduct",1996,1996
"Mississippi","Bolivar","Robbery","Misconduct",1988,1988
"Illinois","Cook","Murder","Misconduct",1989,1991
"Illinois","Cook","Murder","Misconduct",1983,1985
"New York","New York","Weapon Possession or Sale","Misdemeanor",1992,1992
"New York","Rensselaer","Robbery","Misconduct",1993,1994
"New York","Kings","Murder","Misconduct",1983,1984
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2012,2012
"Montana","Silver Bow","Sexual Assault","Misconduct",1983,1983
"Michigan","Wayne","Murder","Misconduct",2001,2003
"Michigan","Macomb","Child Abuse","Misconduct",2003,2005
"California","San Joaquin","Attempted Murder","Misconduct",2009,2011
"California","Riverside","Sexual Assault","Misconduct",1987,1987
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2007,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2005
"Illinois","Cook","Murder","Misconduct",1988,1990
"Illinois","McLean","Murder","Misconduct",1993,1995
"Alabama","Montgomery","Murder","Misconduct",1988,1989
"West Virginia","Pocahontas","Murder","Misconduct",1980,1993
"New York","Bronx","Child Sex Abuse","Misconduct",1984,1986
"Missouri","St. Louis City","Robbery","Misconduct",1996,1997
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2009
"Kansas","Shawnee","Assault","Misconduct",2014,2014
"Ohio","Lucas","Murder","Misconduct",1996,1997
"Oregon","Wasco","Other","Violent felony",2017,2018
"Ohio","Franklin","Manslaughter","Misconduct",1997,1999
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"New York","Kings","Robbery","Misconduct",1996,1997
"New York","Queens","Murder","Misconduct",1996,1999
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Pennsylvania","Lancaster","Drug Possession or Sale","Misdemeanor",2007,2008
"New York","Queens","Murder","Misconduct",1994,1995
"Minnesota","Pine","Drug Possession or Sale","Misdemeanor",2016,2016
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"California","Kern","Murder","Misconduct",1991,1993
"Illinois","Cook","Murder","Misconduct",1989,1991
"New York","Queens","Robbery","Misconduct",2009,2010
"South Carolina","Horry","Murder","Misconduct",2000,2002
"Pennsylvania","Philadelphia","Murder","Misconduct",2006,2008
"Indiana","Marion","Murder","Misconduct",1998,1999
"Wisconsin","Dane","Sexual Assault","Misconduct",1987,1990
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Louisiana","Terrebonne","Drug Possession or Sale","Misdemeanor",1977,1979
"New York","New York","Murder","Misconduct",1991,1992
"Nevada","Clark","Murder","Misconduct",1994,1995
"Michigan","Wayne","Murder","Misconduct",2003,2004
"Pennsylvania","Philadelphia","Murder","Misconduct",1994,1995
"Illinois","Cook","Sexual Assault","Misconduct",1991,1992
"New Jersey","Essex","Sexual Assault","Misconduct",1983,1985
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2007,2008
"New York","Cayuga","Murder","Misconduct",1981,1986
"Louisiana","LA Parish","Child Sex Abuse","Misconduct",1986,1987
"New York","New York","Attempted Murder","Misconduct",1971,1973
"Connecticut","Litchfield","Murder","Misconduct",1985,1989
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2007,2007
"Texas","Collin","Sex Offender Registration","Nonviolent felony",2012,2013
"Mississippi","Forrest","Murder","Misconduct",1979,1980
"North Dakota","Burleigh","Theft","Misdemeanor",2004,2005
"North Dakota","Burleigh","Child Abuse","Misconduct",2022,2022
"West Virginia","Cabell","Murder","Misconduct",2002,2008
"Illinois","Cook","Murder","Misconduct",2002,2004
"North Carolina","Wake","Murder","Misconduct",1979,1988
"Texas","Dallas","Child Sex Abuse","Misconduct",1995,1995
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2005
"Texas","Collin","Murder","Misconduct",1993,1994
"New York","New York","Murder","Misconduct",1985,1985
"New York","Kings","Murder","Misconduct",1990,1991
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2008
"Kansas","Jefferson","Murder","Misconduct",1999,2000
"Maryland","Baltimore","Murder","Misconduct",1984,1985
"New York","Bronx","Attempted Murder","Misconduct",2005,2007
"Texas","Harris","Theft","Misdemeanor",1992,1992
"Fed-IL","(Northern)","Bribery","Nonviolent felony",1964,1964
"Illinois","Cook","Murder","Misconduct",1994,1996
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Fed-WI","(Eastern)","Robbery","Misconduct",1989,1991
"Wisconsin","La Crosse","Sexual Assault","Misconduct",2006,2007
"New York","Queens","Murder","Misconduct",1996,2000
"Fed-MA",NA,"Conspiracy","Nonviolent felony",2015,2019
"California","Los Angeles","Murder","Misconduct",1982,1983
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Ohio","Cuyahoga","Sexual Assault","Misconduct",1986,1987
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1992,1992
"California","Merced","Child Sex Abuse","Misconduct",1985,1993
"New York","Kings","Robbery","Misconduct",2011,2012
"California","Orange","Murder","Misconduct",1992,2011
"Oregon","Lane","Murder","Misconduct",1983,1987
"Florida","Monroe","Sexual Assault","Misconduct",1982,1983
"Florida","Broward","Sexual Assault","Misconduct",1988,1989
"Pennsylvania","Philadelphia","Manslaughter","Misconduct",1989,1990
"Illinois","Cook","Murder","Misconduct",1993,1996
"Missouri","Jackson","Murder","Misconduct",1983,1986
"Pennsylvania","Philadelphia","Murder","Misconduct",1989,1990
"Virginia","Newport News City","Murder","Misconduct",1990,1991
"New York","Erie","Murder","Misconduct",1976,1977
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2005
"Texas","Shelby","Murder","Misconduct",1997,1999
"Illinois","Cook","Murder","Misconduct",1990,1990
"New York","Kings","Attempted Murder","Misconduct",1982,1984
"New York","Dutchess","Murder","Misconduct",1977,1983
"Illinois","Cook","Kidnapping","Misconduct",1986,1988
"Ohio","Cuyahoga","Other Violent Felony","Misconduct",2015,2016
"Washington","Yakima","Sexual Assault","Misconduct",1995,1996
"Montana","Gallatin","Assault","Misconduct",1999,1999
"New York","Westchester","Assault","Misconduct",2010,2010
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Georgia","Fulton","Assault","Misconduct",2011,2012
"District of Columbia",NA,"Sexual Assault","Misconduct",1991,1992
"Arkansas","Clark","Drug Possession or Sale","Misdemeanor",1993,1996
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2008
"New York","Kings","Murder","Misconduct",1988,1990
"Arkansas","Sebastian","Murder","Misconduct",1994,1995
"Texas","Montgomery","Murder","Misconduct",1980,1981
"Tennessee","Grundy","Murder","Misconduct",2006,2007
"New York","Suffolk","Drug Possession or Sale","Misdemeanor",1989,1990
"California","Los Angeles","Sexual Assault","Misconduct",1990,1990
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"New York","Queens","Robbery","Misconduct",1995,1997
"Fed-WA","(Eastern)","Fraud","Nonviolent felony",2016,2017
"Mississippi","Noxubee","Murder","Misconduct",1992,1995
"Ohio","Cuyahoga","Murder","Misconduct",1975,1975
"North Carolina","Mecklenburg","Sexual Assault","Misconduct",1989,1991
"Texas","Harris","Child Abuse","Misconduct",1999,2000
"Louisiana","Orleans","Murder","Misconduct",1995,1996
"Louisiana","Orleans","Murder","Misconduct",1975,1976
"Louisiana","Orleans","Robbery","Misconduct",2012,2013
"Michigan","Wayne","Assault","Misconduct",2002,2002
"New York","Ontario","Robbery","Misconduct",1997,1999
"Missouri","St. Louis","Sexual Assault","Misconduct",1982,1983
"Texas","Harris","Robbery","Misconduct",2007,2009
"Pennsylvania","Chester","Sexual Assault","Misconduct",1990,1991
"Florida","Hillsborough","Child Sex Abuse","Misconduct",2002,2004
"North Carolina","Robeson","Child Sex Abuse","Misconduct",2011,2013
"Illinois","Cook","Sexual Assault","Misconduct",1995,1996
"New York","Onondaga","Sexual Assault","Misconduct",1981,1982
"Nevada","Churchill","Child Sex Abuse","Misconduct",1990,1990
"Illinois","Cook","Theft","Misdemeanor",1987,1989
"Washington","Thurston","Child Sex Abuse","Misconduct",1995,1995
"Texas","Dallas","Child Sex Abuse","Misconduct",1990,1993
"Montana","Yellowstone","Child Sex Abuse","Misconduct",1987,1987
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"Ohio","Cuyahoga","Murder","Misconduct",1987,1988
"Louisiana","Orleans","Murder","Misconduct",1977,1977
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2010,2010
"Illinois","Cook","Child Sex Abuse","Misconduct",1997,2000
"Mississippi","Noxubee","Murder","Misconduct",1990,1992
"Texas","Galveston","Drug Possession or Sale","Misdemeanor",2017,2017
"New York","Kings","Sexual Assault","Misconduct",2011,2012
"Louisiana","Iberia","Drug Possession or Sale","Misdemeanor",2010,2011
"Massachusetts","Suffolk","Murder","Misconduct",1984,1987
"Texas","Harris","Murder","Misconduct",2003,2005
"Illinois","Cook","Murder","Misconduct",1988,1990
"Ohio","Lorain","Attempt, Violent","Misconduct",2016,2018
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2010,2011
"Ohio","Lucas","Murder","Misconduct",1981,1982
"Utah","Cache","Murder","Misconduct",1993,1995
"Louisiana","St. Tammany","Sexual Assault","Misconduct",1984,1985
"New York","Cayuga","Weapon Possession or Sale","Misdemeanor",2016,2016
"Pennsylvania","York","Murder","Misconduct",2011,2013
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2008
"Indiana","Noble","Sex Offender Registration","Nonviolent felony",2009,2011
"Texas","Dallas","Murder","Misconduct",1980,1980
"Arkansas","Dallas","Murder","Misconduct",1988,1992
"North Carolina","Edgecomb","Child Sex Abuse","Misconduct",2008,2009
"North Carolina","Wilson","Sexual Assault","Misconduct",1991,1993
"Mississippi","Coahoma","Murder","Misconduct",2003,2006
"North Carolina","Robeson","Murder","Misconduct",1983,1984
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Illinois","Cook","Murder","Misconduct",2008,2011
"Louisiana","Jefferson","Sexual Assault","Misconduct",1997,1997
"Pennsylvania","Dauphin","Robbery","Misconduct",2001,2002
"Louisiana","Orleans","Child Sex Abuse","Misconduct",1994,1994
"Illinois","Cook","Murder","Misconduct",1983,1984
"Maryland","Baltimore City","Assault","Misconduct",2005,2006
"New York","Cayuga","Murder","Misconduct",1991,1992
"Michigan","Calhoun","Manslaughter","Misconduct",2010,2010
"Mississippi","DeSoto","Murder","Misconduct",1993,1995
"Florida","Broward","Murder","Misconduct",1990,1993
"Florida","Miami-Dade","Murder","Misconduct",2005,2010
"Texas","Harris","Drug Possession or Sale","Misdemeanor",1990,1992
"Nevada","Clark","Murder","Misconduct",1985,1986
"New York","Queens","Murder","Misconduct",1994,1995
"Michigan","Wayne","Murder","Misconduct",2012,2014
"Ohio","Stark","Sexual Assault","Misconduct",1996,1996
"Georgia","Colquitt","Murder","Misconduct",1996,1998
"Florida","Manatee","Robbery","Misconduct",2006,2007
"New York","Bronx","Murder","Misconduct",1975,1976
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1995,1997
"Maryland","Baltimore City","Murder","Misconduct",1998,1999
"Oklahoma","Oklahoma","Sexual Assault","Misconduct",1982,1983
"New York","Bronx","Murder","Misconduct",1992,1995
"Kansas","Douglas","Murder","Misconduct",2016,2018
"Missouri","Jackson","Murder","Misconduct",2000,2002
"Arkansas","Clark","Drug Possession or Sale","Misdemeanor",1999,1999
"Ohio","Cuyahoga","Murder","Misconduct",2001,2002
"Louisiana","East Baton Rouge","Murder","Misconduct",2017,2019
"Minnesota","Hennepin","Murder","Misconduct",1990,1992
"Illinois","Cook","Child Sex Abuse","Misconduct",1983,1984
"New York","Bronx","Sexual Assault","Misconduct",1998,1999
"Tennessee","Hamilton","Murder","Misconduct",2009,2019
"Indiana","Decatur","Murder","Misconduct",1995,1996
"New York","Kings","Attempt, Violent","Misconduct",2006,2007
"Michigan","Wayne","Attempted Murder","Misconduct",2014,2014
"New York","Kings","Murder","Misconduct",1991,1992
"Indiana","Marion","Sexual Assault","Misconduct",1984,1986
"Louisiana","St. Tammany","Murder","Misconduct",1980,1986
"Maryland","Baltimore City","Murder","Misconduct",1994,1995
"Tennessee","Giles","Murder","Misconduct",1997,1999
"Montana","Cascade","Murder","Misconduct",2001,2002
"Maryland","Baltimore City","Manslaughter","Misconduct",2010,2011
"District of Columbia",NA,"Murder","Misconduct",1990,1994
"Virginia","Richmond City","Sexual Assault","Misconduct",1979,1979
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Fed-VA","(Western)","Drug Possession or Sale","Misdemeanor",2013,2014
"Wisconsin","Milwaukee","Murder","Misconduct",2010,2011
"Fed-IL","(Northern)","Drug Possession or Sale","Misdemeanor",1988,1991
"Louisiana","Union","Murder","Misconduct",1986,1987
"Illinois","Cook","Murder","Misconduct",1999,2002
"Michigan","Berrien","Arson","Misconduct",1997,1998
"Wisconsin","Milwaukee","Child Sex Abuse","Misconduct",2006,2007
"Illinois","Iroquois","Murder","Misconduct",1988,1989
"New York","Queens","Murder","Misconduct",1992,1994
"Michigan","Wayne","Murder","Misconduct",1987,1987
"Missouri","Cole","Murder","Misconduct",1984,1985
"New York","Bronx","Murder","Misconduct",1989,1991
"Tennessee","Lewis","Child Sex Abuse","Misconduct",2002,2003
"Virginia","Petersburg City","Robbery","Misconduct",2006,2007
"New York","Suffolk","Murder","Misconduct",1975,1976
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"District of Columbia",NA,"Murder","Misconduct",1970,1971
"Texas","Smith","Sexual Assault","Misconduct",1983,1983
"Tennessee","Knox","Sexual Assault","Misconduct",1976,1977
"Mississippi","Lowndes","Murder","Misconduct",1989,1990
"Ohio","Franklin","Murder","Misconduct",2002,2003
"Texas","Jefferson","Child Abuse","Misconduct",2001,2004
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Texas","Harris","Sexual Assault","Misconduct",1985,1985
"North Dakota","Cass","Sexual Assault","Misconduct",1997,1997
"Illinois","Cook","Burglary/Unlawful Entry","Misdemeanor",2012,2014
"California","Los Angeles","Sexual Assault","Misconduct",1995,1995
"Texas","Pecos","Murder","Misconduct",1991,1993
"Wisconsin","Lacrosse","Other Nonviolent Felony","Nonviolent felony",2010,2013
"Illinois","Cook","Child Sex Abuse","Misconduct",1994,1996
"Illinois","Cook","Murder","Misconduct",1999,2001
"Illinois","Cook","Murder","Misconduct",1986,1989
"Texas","Atascosa","Child Sex Abuse","Misconduct",2003,2005
"Massachusetts","Plymouth","Child Sex Abuse","Misconduct",1999,2002
"California","San Francisco","Murder","Misconduct",1990,1991
"Michigan","Wayne","Child Sex Abuse","Misconduct",2006,2007
"New York","Suffolk","Sexual Assault","Misconduct",1985,1987
"Missouri","St. Louis","Murder","Misconduct",1995,1996
"Illinois","Cook","Robbery","Misconduct",1991,1991
"New York","Queens","Robbery","Misconduct",1994,1996
"Massachusetts","Berkshire","Sexual Assault","Misconduct",1999,2003
"Michigan","Wexford","Arson","Misconduct",2008,2009
"Indiana","Floyd","Murder","Misconduct",2000,2002
